"Word"	"Pronunciation"	"Audio"	"Parts Of Speech"	"Meaning"	"Examples"	"Picture"	"Word Reference"
"absolute"	"absolute.ipa"	"absolute.mp3"	"ADJ."	"complete; totally unlimited; certain"	"Although the King of Siam was an absolute monarch, he did not want to behead his unfaithful wife without absolute evidence of her infidelity"	"absolute.png"	"https://www.wordreference.com/definition/absolute"
"absolve"	"absolve.ipa"	"absolve.mp3"	"V."	"pardon (an offense)"	"The father confessor absolved him of his sins.absolution, N"	"absolve.png"	"https://www.wordreference.com/definition/absolve"
"abstain"	"abstain.ipa"	"abstain.mp3"	"V."	"refrain; withhold from participation"	"After considering the effect of alcohol on his athletic performance, he decided to abstain from drinking while he trained for the race"	"abstain.png"	"https://www.wordreference.com/definition/abstain"
"abstemious"	"abstemious.ipa"	"abstemious.mp3"	"ADJ."	"sparing in eating and drinking; temperate"	"Concerned whether her vegetarian son&rsquo;s abstemious diet provided him with sufficient protein, the worried mother pressed food on him"	"abstemious.png"	"https://www.wordreference.com/definition/abstemious"
"abstinence"	"abstinence.ipa"	"abstinence.mp3"	"N."	"restraint from eating or drinking"	"The doctor recommended total abstinence from salted foods.abstain, v"	"abstinence.png"	"https://www.wordreference.com/definition/abstinence"
"abstract"	"abstract.ipa"	"abstract.mp3"	"ADJ."	"theoretical; not concrete; nonrepresentational"	"To him, hunger was an abstract concept; he had never missed a meal"	"abstract.png"	"https://www.wordreference.com/definition/abstract"
"abstruse"	"abstruse.ipa"	"abstruse.mp3"	"ADJ."	"obscure; profound; difficult to understand"	"Baffled by the abstruse philosophical texts assigned in class, Dave asked Lexy to explain Kant&rsquo;s Critique of Pure Reason"	"abstruse.png"	"https://www.wordreference.com/definition/abstruse"
"abysmal"	"abysmal.ipa"	"abysmal.mp3"	"ADJ."	"bottomless"	"His arrogance is exceeded only by his abysmal ignorance"	"abysmal.png"	"https://www.wordreference.com/definition/abysmal"
"academic"	"academic.ipa"	"academic.mp3"	"ADJ."	"related to a school; not practical or directly useful"	"The dean&rsquo;s talk about reforming academic policies was only an academic discussion: we knew little, if anything, would change"	"academic.png"	"https://www.wordreference.com/definition/academic"
"accede"	"accede.ipa"	"accede.mp3"	"V."	"agree"	"If I accede to this demand for blackmail, I am afraid that I will be the victim of future demands"	"accede.png"	"https://www.wordreference.com/definition/accede"
"acclaim"	"acclaim.ipa"	"acclaim.mp3"	"V."	"applaud; announce with great approval"	"The sportscasters acclaimed every American victory in the Olympics and decried every American defeat.acclamation, N"	"acclaim.png"	"https://www.wordreference.com/definition/acclaim"
"accolade"	"accolade.ipa"	"accolade.mp3"	"N."	"award of merit"	"In Hollywood, an &ldquo;Oscar&rdquo; is the highest accolade"	"accolade.png"	"https://www.wordreference.com/definition/accolade"
"accommodate"	"accommodate.ipa"	"accommodate.mp3"	"V."	"oblige or help someone; adjust or bring into harmony; adapt"	"Mitch always did everything pos&shy;sible to accommodate his elderly relatives, from driving them to medical appointments to helping them with paperwork.(secondary meaning)"	"accommodate.png"	"https://www.wordreference.com/definition/accommodate"
"accomplice"	"accomplice.ipa"	"accomplice.mp3"	"N."	"partner in crime"	"Because he had provided the criminal with the lethal weapon, he was arrested as an accomplice in the murder"	"accomplice.png"	"https://www.wordreference.com/definition/accomplice"
"accord"	"accord.ipa"	"accord.mp3"	"N."	"agreement"	"She was in complete accord with the verdict"	"accord.png"	"https://www.wordreference.com/definition/accord"
"accretion"	"accretion.ipa"	"accretion.mp3"	"N."	"growth; increase"	"Over the years Bob put on weight; because of this accretion of flesh, he went from size M to size XL.accrete, v"	"accretion.png"	"https://www.wordreference.com/definition/accretion"
"acerbic"	"acerbic.ipa"	"acerbic.mp3"	"ADJ."	"bitter or sour in nature; sharp and cutting"	"Noted for her acerbic wit and gossiping, Alice Roosevelt Longworth had a pillow in her home embroidered with the legend &ldquo;If you can&rsquo;t say something good about someone, sit right here by me.&rdquo;"	"acerbic.png"	"https://www.wordreference.com/definition/acerbic"
"acerbity"	"acerbity.ipa"	"acerbity.mp3"	"N."	"bitterness of speech and temper"	"The meeting of the United Nations Assembly was marked with such acerbity that observers held little hope of reaching any useful settlement of the problem"	"acerbity.png"	"https://www.wordreference.com/definition/acerbity"
"acknowledge"	"acknowledge.ipa"	"acknowledge.mp3"	"V."	"recognize; admit"	"Although I acknowledge that the Beatles&rsquo; tunes sound pretty dated nowadays, I still prefer them to the gangsta rap songs my brothers play"	"acknowledge.png"	"https://www.wordreference.com/definition/acknowledge"
"acme"	"acme.ipa"	"acme.mp3"	"N."	"peak; pinnacle; highest point"	"Welles&rsquo;s success in Citizen Kane marked the acme of his career as an actor; never again did he achieve such popular acclaim"	"acme.png"	"https://www.wordreference.com/definition/acme"
"acquiesce"	"acquiesce.ipa"	"acquiesce.mp3"	"V."	"assent; agree passively"	"Although she appeared to acquiesce to her employer&rsquo;s suggestions, I could tell she had reservations about the changes he wanted made.acquiescence, N.; acquiescent, ADJ"	"acquiesce.png"	"https://www.wordreference.com/definition/acquiesce"
"acquittal"	"acquittal.ipa"	"acquittal.mp3"	"N."	"deliverance from a charge"	"His acquittal by the jury surprised those who had thought him guilty.acquit, v"	"acquittal.png"	"https://www.wordreference.com/definition/acquittal"
"acrid"	"acrid.ipa"	"acrid.mp3"	"ADJ."	"sharp; bitterly pungent"	"The acrid odor of burnt gunpowder filled the room after the pistol had been fired"	"acrid.png"	"https://www.wordreference.com/definition/acrid"
"acrimonious"	"acrimonious.ipa"	"acrimonious.mp3"	"ADJ."	"bitter in words or manner"	"The candidate attacked his opponent in highly acrimonious terms.acrimony, N"	"acrimonious.png"	"https://www.wordreference.com/definition/acrimonious"
"acuity"	"acuity.ipa"	"acuity.mp3"	"N."	"sharpness"	"In time his youthful acuity of vision failed him, and he needed glasses"	"acuity.png"	"https://www.wordreference.com/definition/acuity"
"acumen"	"acumen.ipa"	"acumen.mp3"	"N."	"mental keenness"	"Her business acumen helped her to succeed where others had failed"	"acumen.png"	"https://www.wordreference.com/definition/acumen"
"acute"	"acute.ipa"	"acute.mp3"	"ADJ."	"quickly perceptive; keen; brief and severe"	"The acute young doctor realized immediately that the gradual deterioration of her patient&rsquo;s once-acute hearing was due to a chronic illness, not an acute one"	"acute.png"	"https://www.wordreference.com/definition/acute"
"adamant"	"adamant.ipa"	"adamant.mp3"	"ADJ."	"hard; inflexible"	"In this movie Bronson played the part of a revenge-driven man, adamant in his determination to punish the criminals who destroyed his family.adamancy, N"	"adamant.png"	"https://www.wordreference.com/definition/adamant"
"adapt"	"adapt.ipa"	"adapt.mp3"	"V."	"alter; modify"	"Some species of animals have become extinct because they could not adapt to a changing environment"	"adapt.png"	"https://www.wordreference.com/definition/adapt"
"address"	"address.ipa"	"address.mp3"	"V."	"direct a speech to; deal with or discuss"	"Due to address the convention in July, Brown planned to address the issue of low-income housing in his speech"	"address.png"	"https://www.wordreference.com/definition/address"
"adept"	"adept.ipa"	"adept.mp3"	"ADJ."	"expert at"	"She was adept at the fine art of irritating people.also N"	"adept.png"	"https://www.wordreference.com/definition/adept"
"adhere"	"adhere.ipa"	"adhere.mp3"	"V."	"stick fast"	"I will adhere to this opinion until proof that I am wrong is presented.adhesion, N.; adherence, N"	"adhere.png"	"https://www.wordreference.com/definition/adhere"
"adherent"	"adherent.ipa"	"adherent.mp3"	"N."	"supporter; follower"	"In the wake of the scandal, the senator&rsquo;s one-time adherents quietly deserted him"	"adherent.png"	"https://www.wordreference.com/definition/adherent"
"adjacent"	"adjacent.ipa"	"adjacent.mp3"	"ADJ."	"adjoining; neighboring; close by"	"Philip&rsquo;s best friend Jason lived only four houses down the block, near but not immediately adjacent"	"adjacent.png"	"https://www.wordreference.com/definition/adjacent"
"admonish"	"admonish.ipa"	"admonish.mp3"	"admonished"	"v"	"When her courtiers questioned her religious beliefs, Mary Stuart admonished them, declaring that she would worship as she pleased"	"admonish.png"	"https://www.wordreference.com/definition/admonish"
"adorn"	"adorn.ipa"	"adorn.mp3"	"V."	"decorate"	"Wall paintings and carved statues adorned the temple.adornment, N"	"adorn.png"	"https://www.wordreference.com/definition/adorn"
"adroit"	"adroit.ipa"	"adroit.mp3"	"ADJ."	"skillful"	"Her adroit handling of the delicate situation pleased her employers"	"adroit.png"	"https://www.wordreference.com/definition/adroit"
"adulation"	"adulation.ipa"	"adulation.mp3"	"N."	"flattery; admiration"	"The rock star thrived on the adulation of his groupies and yes-men.adulate, v"	"adulation.png"	"https://www.wordreference.com/definition/adulation"
"adulterate"	"adulterate.ipa"	"adulterate.mp3"	"V."	"make impure by adding inferior or tainted substances"	"It is a crime to adulterate foods without informing the buyer; when consumers learned that Beechnut had adulterated its apple juice by mixing the juice with water, they protested vigorously.adulteration, N"	"adulterate.png"	"https://www.wordreference.com/definition/adulterate"
"advent"	"advent.ipa"	"advent.mp3"	"N."	"arrival"	"Most Americans were unaware of the advent of the Nuclear Age until the news of Hiroshima reached them"	"advent.png"	"https://www.wordreference.com/definition/advent"
"adversary"	"adversary.ipa"	"adversary.mp3"	"N."	"opponent; enemy"	"Batman struggled to save Gotham City from the machinations of his wicked adversary, the Joker"	"adversary.png"	"https://www.wordreference.com/definition/adversary"
"adverse"	"adverse.ipa"	"adverse.mp3"	"ADJ."	"unfavorable; hostile"	"The recession had a highly adverse effect on Father&rsquo;s investment portfolio: he lost so much money that he could no longer afford the butler and the upstairs maid"	"adverse.png"	"https://www.wordreference.com/definition/adverse"
"adversity"	"adversity.ipa"	"adversity.mp3"	"N."	"poverty; misfortune"	"We must learn to meet adversity gracefully"	"adversity.png"	"https://www.wordreference.com/definition/adversity"
"advocacy"	"advocacy.ipa"	"advocacy.mp3"	"N."	"support; active pleading on behalf of someone or something"	"No threats could dissuade Bishop Desmond Tutu from his advocacy of the human rights of black South Africans"	"advocacy.png"	"https://www.wordreference.com/definition/advocacy"
"aesthetic"	"aesthetic.ipa"	"aesthetic.mp3"	"ADJ."	"artistic; dealing with or capable of appreciating the beautiful"	"The beauty of Tiffany&rsquo;s stained glass appealed to Alice&rsquo;s aesthetic sense.aesthete, N"	"aesthetic.png"	"https://www.wordreference.com/definition/aesthetic"
"affable"	"affable.ipa"	"affable.mp3"	"ADJ."	"easily approachable; warmly friendly"	"Accustomed to cold, aloof supervisors, Nicholas was amazed at how affable his new employer was.affability, N"	"affable.png"	"https://www.wordreference.com/definition/affable"
"affected"	"affected.ipa"	"affected.mp3"	"ADJ."	"artificial; pretended; assumed in order to impress"	"His affected mannerisms&mdash;his &ldquo;Harvard&rdquo; accent, his air of boredom, his use of obscure foreign words&mdash;bugged us: he acted as if he thought he was too good for his old high school friends.affectation, N"	"affected.png"	"https://www.wordreference.com/definition/affected"
"affiliation"	"affiliation.ipa"	"affiliation.mp3"	"N."	"joining; associating with"	"Our hospital&rsquo;s affiliation with top medical facilities, such as Boston Children&rsquo;s Hospital and Beth Israel Medical Center, has enabled us to expand the expert care we provide to residents of the North Shore"	"affiliation.png"	"https://www.wordreference.com/definition/affiliation"
"affinity"	"affinity.ipa"	"affinity.mp3"	"N."	"kinship"	"She felt an affinity with all who suffered; their pains were her pains"	"affinity.png"	"https://www.wordreference.com/definition/affinity"
"affirmation"	"affirmation.ipa"	"affirmation.mp3"	"N."	"positive assertion; confirmation; solemn pledge by one who refuses to take an oath"	"Despite Tom&rsquo;s affirmations of innocence, Aunt Polly still suspected he had eaten the pie"	"affirmation.png"	"https://www.wordreference.com/definition/affirmation"
"affliction"	"affliction.ipa"	"affliction.mp3"	"N."	"state of distress; cause of suffering"	"Even in the midst of her affliction, Elizabeth tried to keep up the spirits of those around her"	"affliction.png"	"https://www.wordreference.com/definition/affliction"
"affluence"	"affluence.ipa"	"affluence.mp3"	"N."	"abundance; wealth"	"Foreigners are amazed by the affluence and luxury of the American way of life"	"affluence.png"	"https://www.wordreference.com/definition/affluence"
"affront"	"affront.ipa"	"affront.mp3"	"N."	"insult; offense; intentional act of disrespect"	"When Mrs.Proudie was not seated beside the Archdeacon at the head table, she took it as a personal affront and refused to speak to her hosts for a week.also v"	"affront.png"	"https://www.wordreference.com/definition/affront"
"agenda"	"agenda.ipa"	"agenda.mp3"	"N."	"items of business at a meeting"	"We had so much difficulty agreeing upon an agenda that there was very little time for the meeting"	"agenda.png"	"https://www.wordreference.com/definition/agenda"
"agglomeration"	"agglomeration.ipa"	"agglomeration.mp3"	"N."	"collection; heap"	"It took weeks to assort the agglomeration of miscellaneous items she had collected on her trip"	"agglomeration.png"	"https://www.wordreference.com/definition/agglomeration"
"aggrandize"	"aggrandize.ipa"	"aggrandize.mp3"	"V."	"increase or intensify; raise in power, wealth, rank or honor"	"The history of the past quarter century illustrates how a President may aggrandize his power to act aggressively in international affairs without considering the wishes of Congress"	"aggrandize.png"	"https://www.wordreference.com/definition/aggrandize"
"aggregate"	"aggregate.ipa"	"aggregate.mp3"	"V."	"gather; accumulate"	"Before the Wall Street scandals, dealers in so-called junk bonds managed to aggregate great wealth in short periods of time.also ADJ.aggregation, N"	"aggregate.png"	"https://www.wordreference.com/definition/aggregate"
"aggressor"	"aggressor.ipa"	"aggressor.mp3"	"N."	"attacker"	"Before you punish both boys for fighting, see whether you can determine which one was the aggressor"	"aggressor.png"	"https://www.wordreference.com/definition/aggressor"
"aghast"	"aghast.ipa"	"aghast.mp3"	"ADJ."	"horrified; dumbfounded"	"Miss Manners was aghast at the crude behavior of the fraternity brothers at the annual toga party"	"aghast.png"	"https://www.wordreference.com/definition/aghast"
"agility"	"agility.ipa"	"agility.mp3"	"N."	"nimbleness"	"The agility of the acrobat amazed and thrilled the audience"	"agility.png"	"https://www.wordreference.com/definition/agility"
"agitate"	"agitate.ipa"	"agitate.mp3"	"V."	"stir up; disturb"	"Her fiery remarks agitated the already angry mob"	"agitate.png"	"https://www.wordreference.com/definition/agitate"
"agnostic"	"agnostic.ipa"	"agnostic.mp3"	"N."	"one who is skeptical of the existence of a god or any ultimate reality"	"Agnostics say we can neither prove nor disprove the existence of God; we simply have no way to know.also ADJ"	"agnostic.png"	"https://www.wordreference.com/definition/agnostic"
"alacrity"	"alacrity.ipa"	"alacrity.mp3"	"N."	"cheerful promptness; eagerness"	"Phil and Dave were raring to get off to the mountains; they packed up their ski gear and climbed into the van with alacrity"	"alacrity.png"	"https://www.wordreference.com/definition/alacrity"
"alienate"	"alienate.ipa"	"alienate.mp3"	"V."	"make hostile; separate"	"Her attempts to alienate the two friends failed because they had complete faith in each other"	"alienate.png"	"https://www.wordreference.com/definition/alienate"
"allay"	"allay.ipa"	"allay.mp3"	"V."	"calm; pacify"	"The crew tried to allay the fears of the passengers by announcing that the fire had been controlled"	"allay.png"	"https://www.wordreference.com/definition/allay"
"allege"	"allege.ipa"	"allege.mp3"	"V."	"state without proof"	"Although it is alleged that she has worked for the enemy, she denies the allegation and, legally, we can take no action against her without proof.allegation, N"	"allege.png"	"https://www.wordreference.com/definition/allege"
"allegiance"	"allegiance.ipa"	"allegiance.mp3"	"N."	"loyalty"	"Not even a term in prison could shake Lech Walesa&rsquo;s allegiance to Solidarity, the Polish trade union he had helped to found"	"allegiance.png"	"https://www.wordreference.com/definition/allegiance"
"alleviate"	"alleviate.ipa"	"alleviate.mp3"	"V."	"relieve"	"This should alleviate the pain; if it does not, we shall have to use stronger drugs"	"alleviate.png"	"https://www.wordreference.com/definition/alleviate"
"allocate"	"allocate.ipa"	"allocate.mp3"	"V."	"assign"	"Even though the Red Cross had allocated a large sum for the relief of the sufferers of the disaster, many people perished"	"allocate.png"	"https://www.wordreference.com/definition/allocate"
"alloy"	"alloy.ipa"	"alloy.mp3"	"N."	"a mixture as of metals"	"Alloys of gold are used more frequently than the pure metal"	"alloy.png"	"https://www.wordreference.com/definition/alloy"
"alloy(2)"	"alloy.ipa"	"alloy.mp3"	"V."	"mix; make less pure; lessen or moderate"	"Our delight at the baseball team&rsquo;s victory was alloyed by our concern for our nephew Tim, who injured his pitching arm in the game"	"alloy.png"	"https://www.wordreference.com/definition/alloy"
"allude"	"allude.ipa"	"allude.mp3"	"V."	"refer indirectly"	"Try not to mention divorce in Jack&rsquo;s presence because he will think you are alluding to his marital problems with Jill"	"allude.png"	"https://www.wordreference.com/definition/allude"
"allure"	"allure.ipa"	"allure.mp3"	"V."	"entice; attract"	"Allured by the song of the sirens, the helmsman steered the ship toward the reef.also N"	"allure.png"	"https://www.wordreference.com/definition/allure"
"allusion"	"allusion.ipa"	"allusion.mp3"	"N."	"indirect reference"	"When Amanda said to the ticket scalper, &ldquo;One hundred bucks? What do you want, a pound of flesh?&rdquo; she was making an allusion to Shakespeare&rsquo;s Merchant of Venice"	"allusion.png"	"https://www.wordreference.com/definition/allusion"
"aloof"	"aloof.ipa"	"aloof.mp3"	"ADJ."	"apart; reserved"	"Shy by nature, she remained aloof while all the rest conversed"	"aloof.png"	"https://www.wordreference.com/definition/aloof"
"altercation"	"altercation.ipa"	"altercation.mp3"	"N."	"noisy quarrel; heated dispute"	"In that hot-tempered household, no meal ever came to a peaceful conclusion; the inevitable altercation sometimes even ended in blows"	"altercation.png"	"https://www.wordreference.com/definition/altercation"
"altruistic"	"altruistic.ipa"	"altruistic.mp3"	"ADJ."	"unselfishly generous; concerned for others"	"In providing tutorial assistance and college scholarships for hundreds of economically disadvantaged youths, Eugene Lang performed a truly altruistic deed.altruism, N"	"altruistic.png"	"https://www.wordreference.com/definition/altruistic"
"amalgamate"	"amalgamate.ipa"	"amalgamate.mp3"	"V."	"combine; unite in one body"	"The unions will attempt to amalgamate their groups into one national body"	"amalgamate.png"	"https://www.wordreference.com/definition/amalgamate"
"amass"	"amass.ipa"	"amass.mp3"	"V."	"collect"	"The miser&rsquo;s aim is to amass and hoard as much gold as possible"	"amass.png"	"https://www.wordreference.com/definition/amass"
"ambience"	"ambience.ipa"	"ambience.mp3"	"N."	"environment; atmosphere"	"She went to the restaurant not for the food but for the ambience"	"ambience.png"	"https://www.wordreference.com/definition/ambience"
"ambiguous"	"ambiguous.ipa"	"ambiguous.mp3"	"ADJ."	"unclear or doubtful in meaning"	"His ambiguous instructions misled us; we did not know which road to take.ambiguity, N"	"ambiguous.png"	"https://www.wordreference.com/definition/ambiguous"
"ambivalence"	"ambivalence.ipa"	"ambivalence.mp3"	"N."	"the state of having contradictory or conflicting emotional attitudes"	"Torn between loving her parents one minute and hating them the next, she was confused by the ambivalence of her feelings.ambivalent, ADJ"	"ambivalence.png"	"https://www.wordreference.com/definition/ambivalence"
"ambulatory"	"ambulatory.ipa"	"ambulatory.mp3"	"ADJ."	"able to walk; not bedridden"	"Calvin was a highly ambulatory patient; not only did he refuse to be confined to bed, but also he insisted on riding his skateboard up and down the halls"	"ambulatory.png"	"https://www.wordreference.com/definition/ambulatory"
"ameliorate"	"ameliorate.ipa"	"ameliorate.mp3"	"V."	"improve"	"Many social workers have attempted to ameliorate the conditions of people living in the slums"	"ameliorate.png"	"https://www.wordreference.com/definition/ameliorate"
"amenable"	"amenable.ipa"	"amenable.mp3"	"ADJ."	"readily managed or willing to be led; answerable or accountable legally"	"Although the ambassador was usually amenable to friendly suggestions, he balked when we hinted he should pay his parking tickets.As a foreign diplomat, he claimed he was not amenable to minor local laws"	"amenable.png"	"https://www.wordreference.com/definition/amenable"
"amend"	"amend.ipa"	"amend.mp3"	"V."	"correct; change, generally for the better"	"Hoping to amend his condition, he left Vietnam for the United States"	"amend.png"	"https://www.wordreference.com/definition/amend"
"amenities"	"amenities.ipa"	"amenities.mp3"	"N."	"convenient features; courtesies"	"In addition to the customary amenities for the business traveler&mdash;fax machines, modems, a health club&mdash;the hotel offers the services of a butler versed in the social amenities"	"amenities.png"	"https://www.wordreference.com/definition/amenities"
"amiable"	"amiable.ipa"	"amiable.mp3"	"ADJ."	"agreeable; lovable; warmly friendly"	"In Little Women, Beth is the amiable daughter whose loving disposition endears her to all who know her"	"amiable.png"	"https://www.wordreference.com/definition/amiable"
"amicable"	"amicable.ipa"	"amicable.mp3"	"ADJ."	"politely friendly; not quarrelsome"	"Beth&rsquo;s sister Jo is the hot-tempered tomboy who has a hard time maintaining amicable relationships with those around her.Jo&rsquo;s quarrel with her friend Laurie finally reaches an amicable settlement, but not because Jo turns amiable overnight"	"amicable.png"	"https://www.wordreference.com/definition/amicable"
"amiss"	"amiss.ipa"	"amiss.mp3"	"ADJ."	"wrong; faulty"	"Seeing her frown, he wondered if anything were amiss.also ADV"	"amiss.png"	"https://www.wordreference.com/definition/amiss"
"amity"	"amity.ipa"	"amity.mp3"	"N."	"friendship"	"Student exchange programs such as the Experiment in International Living were established to promote international amity"	"amity.png"	"https://www.wordreference.com/definition/amity"
"amnesty"	"amnesty.ipa"	"amnesty.mp3"	"N."	"pardon"	"When his first child was born, the king granted amnesty to all in prison"	"amnesty.png"	"https://www.wordreference.com/definition/amnesty"
"amoral"	"amoral.ipa"	"amoral.mp3"	"ADJ."	"nonmoral"	"The amoral individual lacks a code of ethics; he cannot tell right from wrong.The immoral person can tell right from wrong; he chooses to do something he knows is wrong"	"amoral.png"	"https://www.wordreference.com/definition/amoral"
"amorous"	"amorous.ipa"	"amorous.mp3"	"ADJ."	"moved by sexual love; loving"	"&ldquo;Love them and leave them&rdquo; was the motto of the amorous Don Juan"	"amorous.png"	"https://www.wordreference.com/definition/amorous"
"amorphous"	"amorphous.ipa"	"amorphous.mp3"	"ADJ."	"formless; lacking shape or definition"	"As soon as we have decided on our itinerary, we shall send you a copy; right now, our plans are still amorphous"	"amorphous.png"	"https://www.wordreference.com/definition/amorphous"
"ample"	"ample.ipa"	"ample.mp3"	"ADJ."	"abundant"	"Bond had ample opportunity to escape.Why, then, did he let us capture him?"	"ample.png"	"https://www.wordreference.com/definition/ample"
"amplify"	"amplify.ipa"	"amplify.mp3"	"V."	"broaden or clarify by expanding; intensify; make stronger"	"Charlie Brown tried to amplify his remarks, but he was drowned out by jeers from the audience.Lucy was smarter: she used a loudspeaker to amplify her voice"	"amplify.png"	"https://www.wordreference.com/definition/amplify"
"amputate"	"amputate.ipa"	"amputate.mp3"	"V."	"cut off part of body; prune"	"When the doctors had to amputate Ted Kennedy, Jr.&rsquo;s leg to prevent the spread of cancer, he did not let the loss of his leg keep him from participating in sports"	"amputate.png"	"https://www.wordreference.com/definition/amputate"
"anachronism"	"anachronism.ipa"	"anachronism.mp3"	"N."	"something or someone misplaced in time"	"Shakespeare&rsquo;s reference to clocks in Julius Caesar is an anachronism; no clocks existed in Caesar&rsquo;s time.anachronistic, ADJ"	"anachronism.png"	"https://www.wordreference.com/definition/anachronism"
"analogous"	"analogous.ipa"	"analogous.mp3"	"ADJ."	"comparable"	"Actors exploring a classic text often improvise, working through an analogous situation closer to their own experience: for example, to explore the balcony scene in Romeo and Juliet, they may improvise a doorstep &ldquo;goodnight&rdquo; scene between a newly met boy and girl"	"analogous.png"	"https://www.wordreference.com/definition/analogous"
"analogy"	"analogy.ipa"	"analogy.mp3"	"N."	"similarity; parallelism"	"A well-known analogy compares the body&rsquo;s immune system with an army whose defending troops are the lymphocytes or white blood cells"	"analogy.png"	"https://www.wordreference.com/definition/analogy"
"anarchy"	"anarchy.ipa"	"anarchy.mp3"	"N."	"absence of governing body; state of disorder"	"The assassination of the leaders led to a period of anarchy"	"anarchy.png"	"https://www.wordreference.com/definition/anarchy"
"anathema"	"anathema.ipa"	"anathema.mp3"	"N."	"solemn curse; someone or something regarded as a curse"	"The Ayatolla Khomeini heaped anathema upon &ldquo;the Great Satan,&rdquo; that is, the United States.To the Ayatolla, America and the West were anathema; he loathed the democratic nations, cursing them in his dying words.anathematize, v"	"anathema.png"	"https://www.wordreference.com/definition/anathema"
"ancestry"	"ancestry.ipa"	"ancestry.mp3"	"N."	"family descent"	"David can trace his ancestry as far back as the seventeenth century, when one of his ancestors was a court trumpeter somewhere in Germany.ancestral, ADJ"	"ancestry.png"	"https://www.wordreference.com/definition/ancestry"
